directly_follows,count
$START$->Change Approval for Purchase Order,378
$START$->Change Currency,2
$START$->Create Purchase Order Item,197032
$START$->Create Purchase Requisition Item,46526
$START$->Release Purchase Order,22
$START$->SRM: Created,1360
$START$->Vendor creates debit memo,122
$START$->Vendor creates invoice,3457
Block Purchase Order Item->$END$,167
Block Purchase Order Item->Change Quantity,72
Block Purchase Order Item->Clear Invoice,2
Block Purchase Order Item->Delete Purchase Order Item,132
Block Purchase Order Item->Reactivate Purchase Order Item,117
Block Purchase Order Item->Vendor creates debit memo,1
Block Purchase Order Item->Vendor creates invoice,23
Cancel Goods Receipt->$END$,440
Cancel Goods Receipt->Block Purchase Order Item,1
Cancel Goods Receipt->Cancel Goods Receipt,291
Cancel Goods Receipt->Cancel Invoice Receipt,300
Cancel Goods Receipt->Change Approval for Purchase Order,1
Cancel Goods Receipt->Change Delivery Indicator,88
Cancel Goods Receipt->Change Price,45
Cancel Goods Receipt->Change Quantity,92
Cancel Goods Receipt->Change Storage Location,3
Cancel Goods Receipt->Clear Invoice,24
Cancel Goods Receipt->Delete Purchase Order Item,65
Cancel Goods Receipt->Record Goods Receipt,896
Cancel Goods Receipt->Record Invoice Receipt,95
Cancel Goods Receipt->Record Service Entry Sheet,71
Cancel Goods Receipt->Release Purchase Order,2
Cancel Goods Receipt->Remove Payment Block,17
Cancel Goods Receipt->SRM: Complete,2
Cancel Goods Receipt->SRM: Created,4
Cancel Goods Receipt->SRM: Ordered,1
Cancel Goods Receipt->Vendor creates debit memo,513
Cancel Goods Receipt->Vendor creates invoice,145
Cancel Invoice Receipt->$END$,1348
Cancel Invoice Receipt->Cancel Goods Receipt,10
Cancel Invoice Receipt->Cancel Invoice Receipt,60
Cancel Invoice Receipt->Cancel Subsequent Invoice,3
Cancel Invoice Receipt->Change Delivery Indicator,13
Cancel Invoice Receipt->Change Price,5
Cancel Invoice Receipt->Change Quantity,3
Cancel Invoice Receipt->Clear Invoice,3002
Cancel Invoice Receipt->Delete Purchase Order Item,6
Cancel Invoice Receipt->Record Goods Receipt,15
Cancel Invoice Receipt->Record Invoice Receipt,1954
Cancel Invoice Receipt->Record Service Entry Sheet,1
Cancel Invoice Receipt->Record Subsequent Invoice,11
Cancel Invoice Receipt->Remove Payment Block,611
Cancel Invoice Receipt->Vendor creates debit memo,29
Cancel Invoice Receipt->Vendor creates invoice,25
Cancel Subsequent Invoice->$END$,24
Cancel Subsequent Invoice->Cancel Invoice Receipt,3
Cancel Subsequent Invoice->Cancel Subsequent Invoice,2
Cancel Subsequent Invoice->Change Price,2
Cancel Subsequent Invoice->Clear Invoice,226
Cancel Subsequent Invoice->Record Goods Receipt,4
Cancel Subsequent Invoice->Record Invoice Receipt,9
Cancel Subsequent Invoice->Record Subsequent Invoice,8
Cancel Subsequent Invoice->Remove Payment Block,206
Cancel Subsequent Invoice->Vendor creates debit memo,5
Cancel Subsequent Invoice->Vendor creates invoice,2
Change Approval for Purchase Order->$END$,1346
Change Approval for Purchase Order->Block Purchase Order Item,107
Change Approval for Purchase Order->Cancel Goods Receipt,3
Change Approval for Purchase Order->Cancel Invoice Receipt,2
Change Approval for Purchase Order->Change Approval for Purchase Order,1588
Change Approval for Purchase Order->Change Price,433
Change Approval for Purchase Order->Change Quantity,319
Change Approval for Purchase Order->Change Storage Location,10
