Activity,Count
"('Admission IC', -inf)",1
"('Admission IC', 0.0)",5
"('Admission IC', 1.0)",14
"('Admission IC', 2.0)",8
"('Admission IC', 3.0)",1
"('Admission IC', 4.0)",2
"('Admission IC', 5.0)",3
"('Admission IC', 6.0)",13
"('Admission IC', 7.0)",17
"('Admission IC', 8.0)",27
"('Admission IC', 9.0)",11
"('Admission IC', 10.0)",7
"('Admission IC', 11.0)",4
"('Admission IC', 14.0)",1
"('Admission NC', 0.0)",116
"('Admission NC', 1.0)",96
"('Admission NC', 2.0)",43
"('Admission NC', 3.0)",14
"('Admission NC', 4.0)",17
"('Admission NC', 5.0)",19
"('Admission NC', 6.0)",60
"('Admission NC', 7.0)",158
"('Admission NC', 8.0)",291
"('Admission NC', 9.0)",146
"('Admission NC', 10.0)",79
"('Admission NC', 11.0)",70
"('Admission NC', 12.0)",15
"('Admission NC', 13.0)",9
"('Admission NC', 14.0)",3
"('CRP', -inf)",829
"('CRP', 0.0)",12
"('CRP', 1.0)",9
"('CRP', 2.0)",19
"('CRP', 3.0)",66
"('CRP', 4.0)",104
"('CRP', 5.0)",93
"('CRP', 6.0)",39
"('CRP', 7.0)",17
"('CRP', 8.0)",13
"('CRP', 9.0)",43
"('CRP', 10.0)",97
"('CRP', 11.0)",244
"('CRP', 12.0)",244
"('CRP', 13.0)",109
"('CRP', 14.0)",17
"('ER Registration', -inf)",994
"('ER Registration', 0.0)",4
"('ER Registration', 1.0)",4
"('ER Registration', 2.0)",4
"('ER Registration', 3.0)",3
"('ER Registration', 4.0)",5
"('ER Registration', 5.0)",4
"('ER Registration', 6.0)",4
"('ER Registration', 7.0)",2
"('ER Registration', 8.0)",6
"('ER Registration', 9.0)",13
"('ER Registration', 10.0)",6
"('ER Sepsis Triage', -inf)",7
"('ER Sepsis Triage', 0.0)",713
"('ER Sepsis Triage', 1.0)",89
"('ER Sepsis Triage', 2.0)",47
"('ER Sepsis Triage', 3.0)",46
"('ER Sepsis Triage', 4.0)",55
"('ER Sepsis Triage', 5.0)",37
"('ER Sepsis Triage', 6.0)",22
"('ER Sepsis Triage', 7.0)",19
