Activity,Count
"('Admission IC', 0.0)",1
"('Admission IC', 1.0)",5
"('Admission IC', 2.0)",14
"('Admission IC', 3.0)",5
"('Admission IC', 4.0)",3
"('Admission IC', 6.0)",1
"('Admission IC', 9.0)",1
"('Admission IC', 14.0)",1
"('Admission IC', 17.0)",1
"('Admission IC', 27.0)",1
"('Admission IC', 32.0)",1
"('Admission IC', 33.0)",1
"('Admission IC', 34.0)",1
"('Admission IC', 38.0)",1
"('Admission IC', 40.0)",1
"('Admission IC', 41.0)",1
"('Admission IC', 43.0)",1
"('Admission IC', 44.0)",2
"('Admission IC', 52.0)",1
"('Admission IC', 53.0)",1
"('Admission IC', 58.0)",1
"('Admission IC', 61.0)",1
"('Admission IC', 62.0)",1
"('Admission IC', 79.0)",1
"('Admission IC', 80.0)",1
"('Admission IC', 82.0)",1
"('Admission IC', 83.0)",1
"('Admission IC', 88.0)",1
"('Admission IC', 89.0)",1
"('Admission IC', 91.0)",2
"('Admission IC', 94.0)",1
"('Admission IC', 95.0)",1
"('Admission IC', 108.0)",1
"('Admission IC', 109.0)",1
"('Admission IC', 112.0)",2
"('Admission IC', 115.0)",1
"('Admission IC', 121.0)",1
"('Admission IC', 123.0)",1
"('Admission IC', 130.0)",1
"('Admission IC', 131.0)",1
"('Admission IC', 132.0)",1
"('Admission IC', 135.0)",1
"('Admission IC', 141.0)",2
"('Admission IC', 143.0)",1
"('Admission IC', 146.0)",1
"('Admission IC', 148.0)",1
"('Admission IC', 149.0)",1
"('Admission IC', 152.0)",1
"('Admission IC', 153.0)",2
"('Admission IC', 158.0)",1
"('Admission IC', 160.0)",1
"('Admission IC', 166.0)",1
"('Admission IC', 169.0)",1
"('Admission IC', 175.0)",1
"('Admission IC', 178.0)",1
"('Admission IC', 181.0)",1
"('Admission IC', 182.0)",1
"('Admission IC', 210.0)",1
"('Admission IC', 211.0)",1
"('Admission IC', 213.0)",1
"('Admission IC', 215.0)",1
"('Admission IC', 230.0)",1
"('Admission IC', 247.0)",1
"('Admission IC', 249.0)",1
"('Admission IC', 286.0)",1
"('Admission IC', 294.0)",1
"('Admission IC', 337.0)",1
"('Admission IC', 338.0)",1
"('Admission IC', 395.0)",1
"('Admission IC', 402.0)",1
"('Admission IC', 408.0)",1
"('Admission IC', 410.0)",1
"('Admission IC', 418.0)",1
"('Admission IC', 451.0)",1
"('Admission IC', 480.0)",1
"('Admission IC', 511.0)",1
"('Admission IC', 530.0)",1
"('Admission IC', 613.0)",1
"('Admission IC', 654.0)",1
"('Admission IC', 698.0)",1
"('Admission IC', 817.0)",1
"('Admission IC', 830.0)",1
"('Admission IC', 917.0)",1
"('Admission IC', 1227.0)",1
"('Admission IC', 1753.0)",1
"('Admission IC', 1906.0)",1
"('Admission IC', 2040.0)",1
"('Admission IC', 8398.0)",1
"('Admission NC', 1.0)",116
"('Admission NC', 2.0)",96
"('Admission NC', 3.0)",29
"('Admission NC', 4.0)",14
"('Admission NC', 5.0)",8
"('Admission NC', 6.0)",4
"('Admission NC', 8.0)",2
"('Admission NC', 9.0)",2
"('Admission NC', 10.0)",1
"('Admission NC', 11.0)",2
"('Admission NC', 12.0)",2
"('Admission NC', 13.0)",2
"('Admission NC', 14.0)",5
"('Admission NC', 15.0)",3
"('Admission NC', 17.0)",1
"('Admission NC', 19.0)",3
"('Admission NC', 21.0)",1
"('Admission NC', 22.0)",2
"('Admission NC', 23.0)",1
"('Admission NC', 24.0)",1
"('Admission NC', 25.0)",3
"('Admission NC', 26.0)",1
"('Admission NC', 27.0)",1
"('Admission NC', 28.0)",1
"('Admission NC', 29.0)",1
"('Admission NC', 30.0)",1
"('Admission NC', 31.0)",1
"('Admission NC', 32.0)",1
"('Admission NC', 33.0)",2
"('Admission NC', 34.0)",1
"('Admission NC', 35.0)",1
"('Admission NC', 37.0)",1
"('Admission NC', 38.0)",2
"('Admission NC', 39.0)",1
"('Admission NC', 40.0)",2
"('Admission NC', 41.0)",4
"('Admission NC', 42.0)",2
"('Admission NC', 43.0)",2
"('Admission NC', 44.0)",1
"('Admission NC', 46.0)",1
"('Admission NC', 47.0)",2
"('Admission NC', 48.0)",3
"('Admission NC', 49.0)",2
"('Admission NC', 50.0)",1
"('Admission NC', 51.0)",2
"('Admission NC', 53.0)",2
"('Admission NC', 55.0)",1
"('Admission NC', 56.0)",1
"('Admission NC', 57.0)",2
"('Admission NC', 58.0)",2
"('Admission NC', 60.0)",2
"('Admission NC', 61.0)",3
"('Admission NC', 62.0)",11
"('Admission NC', 63.0)",3
"('Admission NC', 64.0)",3
"('Admission NC', 65.0)",2
"('Admission NC', 66.0)",3
"('Admission NC', 67.0)",2
"('Admission NC', 68.0)",2
"('Admission NC', 70.0)",2
"('Admission NC', 71.0)",1
"('Admission NC', 72.0)",2
"('Admission NC', 73.0)",3
"('Admission NC', 74.0)",2
"('Admission NC', 75.0)",2
"('Admission NC', 77.0)",2
"('Admission NC', 79.0)",5
"('Admission NC', 80.0)",3
"('Admission NC', 81.0)",5
"('Admission NC', 82.0)",2
"('Admission NC', 83.0)",2
"('Admission NC', 84.0)",2
"('Admission NC', 85.0)",2
"('Admission NC', 87.0)",2
"('Admission NC', 88.0)",1
"('Admission NC', 89.0)",2
"('Admission NC', 90.0)",1
"('Admission NC', 91.0)",2
"('Admission NC', 92.0)",1
"('Admission NC', 93.0)",2
"('Admission NC', 94.0)",4
"('Admission NC', 95.0)",1
"('Admission NC', 96.0)",3
"('Admission NC', 97.0)",2
"('Admission NC', 99.0)",5
"('Admission NC', 100.0)",2
"('Admission NC', 101.0)",1
"('Admission NC', 102.0)",1
"('Admission NC', 103.0)",2
"('Admission NC', 104.0)",3
"('Admission NC', 105.0)",2
"('Admission NC', 106.0)",4
"('Admission NC', 107.0)",5
"('Admission NC', 108.0)",2
"('Admission NC', 109.0)",1
"('Admission NC', 110.0)",4
"('Admission NC', 111.0)",2
"('Admission NC', 112.0)",3
"('Admission NC', 113.0)",3
"('Admission NC', 114.0)",2
"('Admission NC', 115.0)",5
"('Admission NC', 116.0)",3
"('Admission NC', 118.0)",2
"('Admission NC', 119.0)",2
"('Admission NC', 120.0)",8
"('Admission NC', 121.0)",9
"('Admission NC', 122.0)",9
"('Admission NC', 123.0)",6
"('Admission NC', 124.0)",2
"('Admission NC', 125.0)",2
"('Admission NC', 126.0)",1
"('Admission NC', 127.0)",2
"('Admission NC', 128.0)",5
"('Admission NC', 129.0)",4
"('Admission NC', 130.0)",4
"('Admission NC', 131.0)",1
"('Admission NC', 132.0)",2
"('Admission NC', 133.0)",1
"('Admission NC', 135.0)",2
"('Admission NC', 138.0)",3
"('Admission NC', 140.0)",2
"('Admission NC', 142.0)",4
"('Admission NC', 143.0)",5
"('Admission NC', 144.0)",3
"('Admission NC', 145.0)",2
"('Admission NC', 146.0)",4
"('Admission NC', 147.0)",2
"('Admission NC', 148.0)",7
"('Admission NC', 149.0)",1
"('Admission NC', 150.0)",4
"('Admission NC', 151.0)",6
"('Admission NC', 152.0)",4
"('Admission NC', 153.0)",2
"('Admission NC', 154.0)",2
"('Admission NC', 155.0)",4
"('Admission NC', 156.0)",3
"('Admission NC', 157.0)",1
"('Admission NC', 158.0)",2
"('Admission NC', 159.0)",2
"('Admission NC', 160.0)",1
"('Admission NC', 161.0)",1
"('Admission NC', 162.0)",3
"('Admission NC', 163.0)",2
"('Admission NC', 164.0)",2
"('Admission NC', 165.0)",1
"('Admission NC', 166.0)",2
"('Admission NC', 167.0)",1
"('Admission NC', 168.0)",4
"('Admission NC', 169.0)",4
"('Admission NC', 170.0)",3
"('Admission NC', 171.0)",2
"('Admission NC', 172.0)",5
"('Admission NC', 173.0)",1
"('Admission NC', 174.0)",2
"('Admission NC', 175.0)",2
"('Admission NC', 176.0)",4
"('Admission NC', 177.0)",4
"('Admission NC', 178.0)",5
"('Admission NC', 179.0)",3
"('Admission NC', 180.0)",17
"('Admission NC', 181.0)",3
"('Admission NC', 182.0)",3
"('Admission NC', 183.0)",4
"('Admission NC', 184.0)",2
"('Admission NC', 185.0)",2
"('Admission NC', 186.0)",3
"('Admission NC', 187.0)",1
"('Admission NC', 188.0)",4
"('Admission NC', 189.0)",2
"('Admission NC', 190.0)",2
"('Admission NC', 191.0)",3
"('Admission NC', 193.0)",1
"('Admission NC', 194.0)",3
"('Admission NC', 195.0)",4
"('Admission NC', 196.0)",2
"('Admission NC', 197.0)",2
"('Admission NC', 198.0)",5
"('Admission NC', 199.0)",1
"('Admission NC', 200.0)",5
"('Admission NC', 201.0)",5
"('Admission NC', 202.0)",2
"('Admission NC', 204.0)",1
"('Admission NC', 206.0)",1
"('Admission NC', 207.0)",1
"('Admission NC', 208.0)",1
"('Admission NC', 209.0)",2
"('Admission NC', 210.0)",4
"('Admission NC', 211.0)",1
"('Admission NC', 212.0)",2
"('Admission NC', 213.0)",4
"('Admission NC', 214.0)",3
"('Admission NC', 215.0)",1
"('Admission NC', 217.0)",2
"('Admission NC', 218.0)",3
"('Admission NC', 220.0)",2
"('Admission NC', 221.0)",3
"('Admission NC', 222.0)",2
"('Admission NC', 223.0)",3
"('Admission NC', 224.0)",1
"('Admission NC', 225.0)",2
"('Admission NC', 226.0)",2
"('Admission NC', 229.0)",2
"('Admission NC', 230.0)",3
"('Admission NC', 231.0)",1
"('Admission NC', 233.0)",1
"('Admission NC', 236.0)",1
"('Admission NC', 238.0)",1
"('Admission NC', 240.0)",39
"('Admission NC', 241.0)",3
"('Admission NC', 242.0)",1
"('Admission NC', 243.0)",1
"('Admission NC', 244.0)",3
"('Admission NC', 245.0)",1
"('Admission NC', 246.0)",2
"('Admission NC', 247.0)",1
"('Admission NC', 249.0)",1
"('Admission NC', 250.0)",1
"('Admission NC', 251.0)",4
"('Admission NC', 252.0)",1
"('Admission NC', 253.0)",1
"('Admission NC', 254.0)",1
"('Admission NC', 256.0)",1
"('Admission NC', 257.0)",3
"('Admission NC', 258.0)",2
"('Admission NC', 262.0)",1
"('Admission NC', 264.0)",1
"('Admission NC', 265.0)",1
"('Admission NC', 266.0)",2
"('Admission NC', 267.0)",1
"('Admission NC', 268.0)",1
"('Admission NC', 269.0)",2
"('Admission NC', 270.0)",6
"('Admission NC', 271.0)",1
"('Admission NC', 272.0)",2
"('Admission NC', 273.0)",2
"('Admission NC', 274.0)",1
"('Admission NC', 275.0)",3
"('Admission NC', 276.0)",2
"('Admission NC', 277.0)",2
"('Admission NC', 280.0)",1
"('Admission NC', 281.0)",1
"('Admission NC', 282.0)",1
"('Admission NC', 285.0)",1
"('Admission NC', 288.0)",2
"('Admission NC', 295.0)",1
"('Admission NC', 296.0)",1
"('Admission NC', 299.0)",1
"('Admission NC', 300.0)",1
"('Admission NC', 301.0)",2
"('Admission NC', 304.0)",1
"('Admission NC', 305.0)",1
"('Admission NC', 309.0)",2
"('Admission NC', 311.0)",1
"('Admission NC', 313.0)",2
"('Admission NC', 315.0)",1
"('Admission NC', 316.0)",1
"('Admission NC', 319.0)",1
"('Admission NC', 323.0)",1
"('Admission NC', 328.0)",1
"('Admission NC', 330.0)",1
"('Admission NC', 332.0)",2
"('Admission NC', 342.0)",1
"('Admission NC', 343.0)",1
"('Admission NC', 345.0)",2
"('Admission NC', 348.0)",1
"('Admission NC', 353.0)",2
"('Admission NC', 354.0)",1
"('Admission NC', 359.0)",1
"('Admission NC', 360.0)",7
"('Admission NC', 361.0)",1
"('Admission NC', 363.0)",1
"('Admission NC', 368.0)",3
"('Admission NC', 369.0)",1
"('Admission NC', 374.0)",1
"('Admission NC', 380.0)",1
"('Admission NC', 389.0)",1
"('Admission NC', 390.0)",7
"('Admission NC', 394.0)",1
"('Admission NC', 396.0)",2
"('Admission NC', 399.0)",1
"('Admission NC', 404.0)",1
"('Admission NC', 405.0)",1
"('Admission NC', 407.0)",1
"('Admission NC', 410.0)",1
"('Admission NC', 411.0)",1
"('Admission NC', 414.0)",1
"('Admission NC', 415.0)",2
"('Admission NC', 420.0)",15
"('Admission NC', 421.0)",2
"('Admission NC', 423.0)",1
"('Admission NC', 426.0)",1
"('Admission NC', 427.0)",1
"('Admission NC', 428.0)",1
"('Admission NC', 430.0)",2
"('Admission NC', 432.0)",2
"('Admission NC', 434.0)",1
"('Admission NC', 435.0)",3
"('Admission NC', 438.0)",2
"('Admission NC', 439.0)",1
"('Admission NC', 450.0)",3
"('Admission NC', 451.0)",1
"('Admission NC', 470.0)",3
"('Admission NC', 471.0)",1
"('Admission NC', 475.0)",2
"('Admission NC', 477.0)",1
"('Admission NC', 478.0)",1
"('Admission NC', 479.0)",1
"('Admission NC', 480.0)",2
"('Admission NC', 491.0)",1
"('Admission NC', 493.0)",1
"('Admission NC', 510.0)",2
"('Admission NC', 517.0)",1
"('Admission NC', 521.0)",1
"('Admission NC', 524.0)",2
"('Admission NC', 525.0)",1
"('Admission NC', 535.0)",1
"('Admission NC', 536.0)",2
"('Admission NC', 537.0)",1
"('Admission NC', 540.0)",1
"('Admission NC', 551.0)",1
"('Admission NC', 570.0)",1
"('Admission NC', 576.0)",1
"('Admission NC', 577.0)",1
"('Admission NC', 578.0)",1
"('Admission NC', 580.0)",2
"('Admission NC', 592.0)",1
"('Admission NC', 600.0)",1
"('Admission NC', 604.0)",1
"('Admission NC', 605.0)",1
"('Admission NC', 634.0)",1
"('Admission NC', 644.0)",1
"('Admission NC', 654.0)",1
"('Admission NC', 679.0)",1
"('Admission NC', 681.0)",1
"('Admission NC', 682.0)",1
"('Admission NC', 691.0)",1
"('Admission NC', 694.0)",1
"('Admission NC', 698.0)",1
"('Admission NC', 699.0)",1
"('Admission NC', 700.0)",1
"('Admission NC', 705.0)",1
"('Admission NC', 706.0)",1
"('Admission NC', 720.0)",2
"('Admission NC', 732.0)",1
"('Admission NC', 734.0)",1
"('Admission NC', 738.0)",1
"('Admission NC', 747.0)",1
"('Admission NC', 759.0)",1
"('Admission NC', 768.0)",1
"('Admission NC', 771.0)",1
"('Admission NC', 776.0)",1
"('Admission NC', 778.0)",1
"('Admission NC', 780.0)",1
"('Admission NC', 799.0)",1
"('Admission NC', 812.0)",1
"('Admission NC', 818.0)",1
"('Admission NC', 842.0)",1
"('Admission NC', 860.0)",1
"('Admission NC', 869.0)",1
"('Admission NC', 884.0)",1
"('Admission NC', 888.0)",1
"('Admission NC', 889.0)",1
"('Admission NC', 899.0)",1
"('Admission NC', 901.0)",1
"('Admission NC', 914.0)",1
"('Admission NC', 916.0)",1
"('Admission NC', 918.0)",1
"('Admission NC', 919.0)",1
"('Admission NC', 924.0)",1
"('Admission NC', 927.0)",1
"('Admission NC', 928.0)",1
"('Admission NC', 946.0)",1
"('Admission NC', 961.0)",1
"('Admission NC', 975.0)",1
"('Admission NC', 983.0)",1
"('Admission NC', 984.0)",1
"('Admission NC', 987.0)",1
"('Admission NC', 993.0)",1
"('Admission NC', 1005.0)",1
"('Admission NC', 1008.0)",1
"('Admission NC', 1010.0)",1
"('Admission NC', 1011.0)",1
"('Admission NC', 1012.0)",1
"('Admission NC', 1016.0)",1
"('Admission NC', 1018.0)",1
"('Admission NC', 1020.0)",1
"('Admission NC', 1023.0)",1
"('Admission NC', 1026.0)",1
"('Admission NC', 1028.0)",1
"('Admission NC', 1032.0)",1
"('Admission NC', 1050.0)",1
"('Admission NC', 1054.0)",1
"('Admission NC', 1061.0)",1
"('Admission NC', 1063.0)",1
"('Admission NC', 1079.0)",1
"('Admission NC', 1082.0)",1
"('Admission NC', 1084.0)",1
"('Admission NC', 1116.0)",1
"('Admission NC', 1140.0)",1
"('Admission NC', 1158.0)",1
"('Admission NC', 1167.0)",1
"('Admission NC', 1180.0)",1
"('Admission NC', 1181.0)",1
"('Admission NC', 1186.0)",1
"('Admission NC', 1207.0)",1
"('Admission NC', 1209.0)",1
"('Admission NC', 1223.0)",1
"('Admission NC', 1228.0)",1
"('Admission NC', 1248.0)",1
"('Admission NC', 1275.0)",1
"('Admission NC', 1287.0)",1
"('Admission NC', 1291.0)",1
"('Admission NC', 1298.0)",1
"('Admission NC', 1302.0)",1
"('Admission NC', 1316.0)",1
"('Admission NC', 1348.0)",1
"('Admission NC', 1351.0)",1
"('Admission NC', 1355.0)",1
"('Admission NC', 1367.0)",1
"('Admission NC', 1370.0)",1
"('Admission NC', 1404.0)",1
"('Admission NC', 1422.0)",1
"('Admission NC', 1427.0)",1
"('Admission NC', 1429.0)",1
"('Admission NC', 1436.0)",1
"('Admission NC', 1442.0)",1
"('Admission NC', 1457.0)",1
"('Admission NC', 1470.0)",1
"('Admission NC', 1480.0)",1
"('Admission NC', 1530.0)",1
"('Admission NC', 1543.0)",1
"('Admission NC', 1562.0)",1
"('Admission NC', 1587.0)",1
"('Admission NC', 1607.0)",1
"('Admission NC', 1621.0)",1
"('Admission NC', 1633.0)",1
"('Admission NC', 1660.0)",1
"('Admission NC', 1666.0)",2
"('Admission NC', 1680.0)",1
"('Admission NC', 1695.0)",1
"('Admission NC', 1714.0)",1
"('Admission NC', 1716.0)",1
"('Admission NC', 1770.0)",2
"('Admission NC', 1800.0)",2
"('Admission NC', 1801.0)",1
"('Admission NC', 1834.0)",1
"('Admission NC', 1835.0)",1
"('Admission NC', 1860.0)",2
"('Admission NC', 1877.0)",1
"('Admission NC', 1920.0)",1
"('Admission NC', 1948.0)",1
"('Admission NC', 1964.0)",1
"('Admission NC', 1966.0)",1
"('Admission NC', 2001.0)",1
"('Admission NC', 2038.0)",1
"('Admission NC', 2045.0)",1
"('Admission NC', 2191.0)",1
"('Admission NC', 2228.0)",1
"('Admission NC', 2304.0)",1
"('Admission NC', 2344.0)",1
"('Admission NC', 2540.0)",1
"('Admission NC', 2613.0)",1
"('Admission NC', 2713.0)",1
"('Admission NC', 2725.0)",1
"('Admission NC', 2793.0)",1
"('Admission NC', 2917.0)",1
"('Admission NC', 3060.0)",1
"('Admission NC', 3062.0)",1
"('Admission NC', 3123.0)",1
"('Admission NC', 3195.0)",1
"('Admission NC', 3841.0)",1
"('Admission NC', 4198.0)",1
"('Admission NC', 4310.0)",1
"('Admission NC', 4380.0)",1
"('Admission NC', 4500.0)",1
"('Admission NC', 4724.0)",1
"('Admission NC', 5760.0)",1
"('Admission NC', 6181.0)",1
"('Admission NC', 7078.0)",1
"('Admission NC', 7679.0)",1
"('Admission NC', 8849.0)",1
"('Admission NC', 9001.0)",1
"('Admission NC', 10440.0)",1
"('CRP', 0.0)",829
"('CRP', 1.0)",12
"('CRP', 2.0)",9
"('CRP', 3.0)",10
"('CRP', 4.0)",9
"('CRP', 5.0)",21
"('CRP', 6.0)",13
"('CRP', 7.0)",14
"('CRP', 8.0)",18
"('CRP', 9.0)",13
"('CRP', 10.0)",15
"('CRP', 11.0)",11
"('CRP', 12.0)",16
"('CRP', 13.0)",12
"('CRP', 14.0)",13
"('CRP', 15.0)",13
"('CRP', 16.0)",11
"('CRP', 17.0)",9
"('CRP', 18.0)",7
"('CRP', 19.0)",13
"('CRP', 20.0)",6
"('CRP', 21.0)",9
"('CRP', 22.0)",10
"('CRP', 23.0)",3
"('CRP', 24.0)",6
"('CRP', 25.0)",8
"('CRP', 26.0)",2
"('CRP', 27.0)",8
"('CRP', 28.0)",2
"('CRP', 29.0)",4
"('CRP', 30.0)",2
"('CRP', 31.0)",1
"('CRP', 32.0)",4
"('CRP', 34.0)",8
"('CRP', 35.0)",1
"('CRP', 36.0)",1
"('CRP', 37.0)",5
"('CRP', 38.0)",2
"('CRP', 39.0)",2
"('CRP', 40.0)",1
"('CRP', 41.0)",2
"('CRP', 42.0)",1
"('CRP', 43.0)",1
"('CRP', 44.0)",3
"('CRP', 45.0)",1
"('CRP', 47.0)",1
"('CRP', 50.0)",2
"('CRP', 54.0)",1
"('CRP', 56.0)",3
"('CRP', 57.0)",1
"('CRP', 59.0)",1
"('CRP', 62.0)",1
"('CRP', 63.0)",1
"('CRP', 65.0)",1
"('CRP', 67.0)",1
"('CRP', 68.0)",1
"('CRP', 71.0)",1
"('CRP', 81.0)",1
"('CRP', 83.0)",2
"('CRP', 89.0)",1
"('CRP', 95.0)",1
"('CRP', 108.0)",1
"('CRP', 115.0)",1
"('CRP', 120.0)",1
"('CRP', 124.0)",1
"('CRP', 126.0)",1
"('CRP', 127.0)",1
"('CRP', 128.0)",2
"('CRP', 144.0)",1
"('CRP', 151.0)",1
"('CRP', 153.0)",1
"('CRP', 168.0)",1
"('CRP', 169.0)",1
"('CRP', 176.0)",1
"('CRP', 182.0)",1
"('CRP', 189.0)",1
"('CRP', 198.0)",1
"('CRP', 205.0)",1
"('CRP', 218.0)",1
"('CRP', 225.0)",1
"('CRP', 236.0)",1
"('CRP', 241.0)",1
"('CRP', 264.0)",1
"('CRP', 267.0)",1
